output_path,output_size,output_entropy,output_sha256,input_size,size_delta,timestamp
/tmp/catalyst-output/seed_icc_perm01_DCI(P3) RGB_001.png,14474,7.9709,eb99e068adcf3ea13250477462b4d33738f8255be0d6ba0a4b4c1dc0e214bc17,13484,990,2026-03-07 23:30:55
/tmp/catalyst-output/seed_perm01_001.png,13484,7.9772,b7308d11497c2e0bfe9c481aceef838a97ba2a002e3c5071aa79f902e783929d,,,2026-03-07 23:30:55
/tmp/catalyst-output/seed_icc_perm03_ACESCG Linear_002.png,58429,7.9919,8347d4369d2722ce9f86e6b72438ac78df734ff65bc429fffcde701a9e596e56,53938,4491,2026-03-07 23:30:55
/tmp/catalyst-output/seed_perm03_002.png,53938,7.9936,177fa11662987eca6fd95130f67bb4b7059a970bc6ca89a2929c190b634b43b1,,,2026-03-07 23:30:55
/tmp/catalyst-output/seed_icc_perm04_Generic CMYK Profile_003.png,215801,7.9956,130284f22f5ce7e6187965124ab8ff4ffdeae01a3eb04c21975b8b854e3ed899,215789,12,2026-03-07 23:30:56
/tmp/catalyst-output/seed_perm04_003.png,215789,7.9956,3e7c7a490856fcd07ff1017b800384aef14606f219d1792e9fdf7afa7c7d3b93,,,2026-03-07 23:30:56
/tmp/catalyst-output/seed_icc_perm06_ITU-709_004.png,66214,7.9942,36aa56474a6c9c5e5e9a04a6829bec295750e694cb25a0dc4a26a4db4fefb31e,65991,223,2026-03-07 23:30:56
/tmp/catalyst-output/seed_perm06_004.png,65991,7.9939,f2c6103261be742928b51dbb333a9b4b63d48e9887c2f0ed1924d01c20167af7,,,2026-03-07 23:30:56
/tmp/catalyst-output/seed_icc_perm07_Generic RGB Profile_005.png,67261,7.9923,2f005628217b70f789560b046d93e2b4ea892c02794e768b5783adc57a69b0c0,65832,1429,2026-03-07 23:30:56
/tmp/catalyst-output/seed_perm07_005.png,65832,7.9936,a507510145c2a810022c1ca906ef58bbfbd07c8bb00ddcbeb6750d1cb6920c4d,,,2026-03-07 23:30:56
/tmp/catalyst-output/seed_icc_perm08_ITU-2020_006.png,4209,7.9360,9631d22abccd9b90e4dac2982d696da911d785320d88d7e1d45f90d03fca0eec,3522,687,2026-03-07 23:30:56
/tmp/catalyst-output/seed_perm08_006.png,3522,7.9266,dd4a36dc67343ddbb392e062808e5d04f62da415fecc664da36ff2312e839ceb,,,2026-03-07 23:30:56
/tmp/catalyst-output/seed_icc_perm09_sRGB Profile_007.png,862760,7.9957,ad489442254ae3acc508cde168dfdaccbc7d73454933f9cb20eaaa2ffa8ec796,862748,12,2026-03-07 23:30:56
/tmp/catalyst-output/seed_perm09_007.png,862748,7.9957,9fa7ec9a8b122ec8e0c9854bb73909a56b032eb7089271257010b457a311688e,,,2026-03-07 23:30:59
/tmp/catalyst-output/seed_icc_perm10_Generic Gray Profile_008.png,31765,7.9886,56e8fd5e2eed51be0f8150c0029184dfb98794c9cc84aaa0d8eddfeb02ab295b,31753,12,2026-03-07 23:30:59
/tmp/catalyst-output/seed_perm10_008.png,31753,7.9886,38630f5febefda14c69b8731f9cf87768c236ef36fcb8006851a5b03b76a0963,,,2026-03-07 23:30:59
/tmp/catalyst-output/seed_icc_perm11_Generic Gray Gamma 2.2 Profile_009.png,84401,7.9943,93e9cf4f2d370ce82d7da4a0e7621c5a7f06dd7652259344323f077aa0cc8272,84389,12,2026-03-07 23:30:59
/tmp/catalyst-output/seed_perm11_009.png,84389,7.9943,77d3921ef47676cb01f5e643c2c041af9f4feb330bf379657e4a39c03ea3717f,,,2026-03-07 23:30:59
/tmp/catalyst-output/seed_icc_perm12_ROMM RGB_010.png,32819,7.9884,758103fa9471329514d9967a949117c47a76554b94fd569823931816e9914756,30447,2372,2026-03-07 23:30:59
/tmp/catalyst-output/seed_perm12_010.png,30447,7.9898,e78706948d9504b88b7d9eb3c983caeeb07e5b82fe7071f06d9b3267de9bdd15,,,2026-03-07 23:30:59
/tmp/catalyst-output/seed_icc_perm01_Generic Lab Profile_011.png,1065,7.6224,f97a7c0e78715451c711781ef398ccbf95752656c47d85171943e7f2ec11efdf,1053,12,2026-03-07 23:30:59
/tmp/catalyst-output/seed_perm01_011.png,1053,7.6497,6c9e839bac2b5ddea2a48e26c44b51ae6f9bc924722851a8d24bee76bcceb6b2,,,2026-03-07 23:30:59
/tmp/catalyst-output/seed_icc_perm05_Generic XYZ Profile_012.png,2079,7.8368,d4f8ffd5da42df4b600bc4631d43bf7f3499bb01afb244b99187fcbd516f0903,2067,12,2026-03-07 23:30:59
/tmp/catalyst-output/seed_perm05_012.png,2067,7.8473,eccac75976697c48f26272f12afb4315525824adae6e05cf794c9c3f894f834f,,,2026-03-07 23:30:59
